theta: 	radius: 	period: 	PE: 	KE: 
0	1	0	-39.4784	0
0	1	0.1	-39.4784	7.79273
0	0.605216	0.2	-65.2303	31.1709
3.14159	0.184353	0.3	-214.146	174.354
3.14159	2.05172	0.4	-19.2416	4751.92
0	7.69704	0.5	-5.12904	4843.78
0	17.5396	0.6	-2.25082	4837.23
0	27.3755	0.7	-1.44211	4835.96
0	37.2101	0.8	-1.06096	4835.45
0	47.0441	0.9	-0.839178	4835.17
0	56.8779	1	-0.69409	4834.99
0	66.7115	1.1	-0.591778	4834.87
0	76.545	1.2	-0.515754	4834.78
0	86.3784	1.3	-0.45704	4834.72
0	96.2117	1.4	-0.410329	4834.67
0	106.045	1.5	-0.37228	4834.62
0	115.878	1.6	-0.340689	4834.59
0	125.711	1.7	-0.31404	4834.56
0	135.545	1.8	-0.291258	4834.54
0	145.378	1.9	-0.271558	4834.51
0	155.211	2	-0.254353	4834.5
0	165.044	2.1	-0.239199	4834.48
0	174.877	2.2	-0.22575	4834.47
0	184.71	2.3	-0.213732	4834.45
0	194.543	2.4	-0.202929	4834.44
0	204.376	2.5	-0.193165	4834.43
0	214.209	2.6	-0.184298	4834.42
0	224.042	2.7	-0.17621	4834.41
0	233.875	2.8	-0.168801	4834.41
0	243.708	2.9	-0.16199	4834.4
0	253.541	3	-0.155708	4834.39
0	263.374	3.1	-0.149895	4834.39
0	273.207	3.2	-0.1445	4834.38
0	283.04	3.3	-0.13948	4834.38
0	292.873	3.4	-0.134797	4834.37
0	302.706	3.5	-0.130418	4834.37
0	312.539	3.6	-0.126315	4834.36
0	322.372	3.7	-0.122462	4834.36
0	332.205	3.8	-0.118837	4834.35
0	342.038	3.9	-0.115421	4834.35
0	351.871	4	-0.112196	4834.35
0	361.704	4.1	-0.109146	4834.34
0	371.537	4.2	-0.106257	4834.34
0	381.37	4.3	-0.103517	4834.34
0	391.203	4.4	-0.100915	4834.34
0	401.036	4.5	-0.0984411	4834.33
0	410.869	4.6	-0.0960852	4834.33
0	420.702	4.7	-0.0938395	4834.33
0	430.535	4.8	-0.0916963	4834.33
0	440.368	4.9	-0.0896488	4834.32
0	450.2	5	-0.0876908	4834.32
0	460.033	5.1	-0.0858164	4834.32
0	469.866	5.2	-0.0840205	4834.32
0	479.699	5.3	-0.0822983	4834.32
0	489.532	5.4	-0.0806452	4834.31
0	499.365	5.5	-0.0790572	4834.31
0	509.198	5.6	-0.0775306	4834.31
0	519.031	5.7	-0.0760618	4834.31
0	528.864	5.8	-0.0746476	4834.31
0	538.697	5.9	-0.073285	4834.31
0	548.53	6	-0.0719713	4834.31
0	558.363	6.1	-0.0707039	4834.3
0	568.195	6.2	-0.0694803	4834.3
0	578.028	6.3	-0.0682984	4834.3
0	587.861	6.4	-0.067156	4834.3
0	597.694	6.5	-0.0660512	4834.3
