Method 1) Euler, 2) Verlet: 2
Starting angle (degrees): 15
Time step: 0.2
Number of time steps: 1000
Average period: 6.2 +/- 0.103967
time	 theta 
0	 15
0.2	 14.7034
0.4	 13.8251
0.6	 12.3992
0.8	 10.4811
1	 8.14618
1.2	 5.48647
1.4	 2.60764
1.6	 -0.375463
1.8	 -3.34355
2	 -6.17796
2.2	 -8.76574
2.4	 -11.0043
2.6	 -12.8053
2.8	 -14.0984
3	 -14.8332
3.2	 -14.9813
3.4	 -14.537
3.6	 -13.5174
3.8	 -11.9621
4	 -9.93175
4.2	 -7.50615
4.4	 -4.78117
4.6	 -1.86516
4.8	 1.12544
5	 4.07103
5.2	 6.85391
5.4	 9.36329
5.6	 11.4998
5.8	 13.1794
6	 14.3365
6.2	 14.926
6.4	 14.9253
6.6	 14.3343
6.8	 13.1758
7	 11.495
7.2	 9.35745
7.4	 6.84726
7.6	 4.06383
7.8	 1.11798
8	 -1.87258
8.2	 -4.78826
8.4	 -7.51263
8.6	 -9.93735
8.8	 -11.9666
9	 -13.5206
9.2	 -14.5388
9.4	 -14.9817
9.6	 -14.8321
9.8	 -14.0958
10	 -12.8014
10.2	 -10.9992
10.4	 -8.75968
10.6	 -6.17115
10.8	 -3.33625
11	 -0.367985
11.2	 2.615
11.4	 5.49343
11.6	 8.15246
11.8	 10.4865
12	 12.4034
12.2	 13.828
12.4	 14.7049
12.6	 15
12.8	 14.7019
13	 13.8222
13.2	 12.395
13.4	 10.4758
13.6	 8.1399
13.8	 5.47951
14	 2.60027
14.2	 -0.382941
14.4	 -3.35084
14.6	 -6.18478
14.8	 -8.7718
15	 -11.0093
15.2	 -12.8092
15.4	 -14.1009
15.6	 -14.8343
15.8	 -14.9809
16	 -14.5351
16.2	 -13.5141
16.4	 -11.9576
16.6	 -9.92615
16.8	 -7.49968
17	 -4.77408
17.2	 -1.85774
17.4	 1.1329
17.6	 4.07823
17.8	 6.86056
18	 9.36913
18.2	 11.5046
18.4	 13.183
18.6	 14.3387
18.8	 14.9268
19	 14.9246
19.2	 14.3321
19.4	 13.1723
19.6	 11.4902
19.8	 9.35161
20	 6.84061
20.2	 4.05663
20.4	 1.11052
20.6	 -1.88
20.8	 -4.79534
21	 -7.51909
21.2	 -9.94294
21.4	 -11.9711
21.6	 -13.5238
21.8	 -14.5406
22	 -14.9821
22.2	 -14.831
22.4	 -14.0933
22.6	 -12.7975
22.8	 -10.9941
23	 -8.75361
23.2	 -6.16433
23.4	 -3.32896
23.6	 -0.360506
23.8	 2.62237
24	 5.50039
24.2	 8.15873
24.4	 10.4918
24.6	 12.4076
24.8	 13.8309
25	 14.7064
25.2	 15
25.4	 14.7005
25.6	 13.8193
25.8	 12.3908
26	 10.4704
26.2	 8.13363
26.4	 5.47255
26.6	 2.59291
26.8	 -0.390419
27	 -3.35813
27.2	 -6.19159
27.4	 -8.77787
27.6	 -11.0144
27.8	 -12.8131
28	 -14.1035
28.2	 -14.8354
28.4	 -14.9806
28.6	 -14.5333
28.8	 -13.5109
29	 -11.953
29.2	 -9.92055
29.4	 -7.49321
29.6	 -4.76699
29.8	 -1.85032
30	 1.14036
30.2	 4.08542
30.4	 6.86721
30.6	 9.37496
30.8	 11.5094
31	 13.1865
31.2	 14.3409
31.4	 14.9275
31.6	 14.9238
31.8	 14.3299
32	 13.1687
32.2	 11.4854
32.4	 9.34577
32.6	 6.83396
32.8	 4.04943
33	 1.10306
33.2	 -1.88743
33.4	 -4.80243
33.6	 -7.52556
33.8	 -9.94854
