Initial height (m): 0
Initial speed (m/s): 10
Initial angle (degrees): 45
Timestep : 0.1

Maximum range = 96.2522 meters
Time of flight = 14.2 seconds

xplot 	 yplot 	 xNoAir 	 yNoAir
0	 0	 0	 0
0.707107	 0.707107	 0.707107	 0.658107
1.41372	 1.40392	 1.41421	 1.21821
2.11984	 2.09044	 2.12132	 1.68032
2.82546	 2.76669	 2.82843	 2.04443
3.53059	 3.43266	 3.53553	 2.31053
4.23522	 4.08836	 4.24264	 2.47864
4.93937	 4.73381	 4.94975	 2.54875
5.64301	 5.369	 5.65685	 2.52085
6.34617	 5.99395	 6.36396	 2.39496
7.04884	 6.60866	 7.07107	 2.17107
7.75101	 7.21314	 7.77817	 1.84917
8.45269	 7.8074	 8.48528	 1.42928
9.15388	 8.39144	 9.19239	 0.911388
9.85458	 8.96527	 9.89949	 0.295495
10.5548	 9.5289	 10.6066	 -0.418398
11.2545	 10.0823	 11.3137	 -1.23029
11.9537	 10.6256	 12.0208	 -2.14018
12.6525	 11.1587	 12.7279	 -3.14808
13.3507	 11.6816	 13.435	 -4.25397
14.0485	 12.1943	 14.1421	 -5.45786
14.7458	 12.6969	 14.8492	 -6.75976
15.4425	 13.1893	 15.5563	 -8.15965
16.1388	 13.6715	 16.2635	 -9.65754
16.8346	 14.1437	 16.9706	 -11.2534
17.53	 14.6057	 17.6777	 -12.9473
18.2248	 15.0576	 18.3848	 -14.7392
18.9192	 15.4993	 19.0919	 -16.6291
19.613	 15.931	 19.799	 -18.617
20.3064	 16.3525	 20.5061	 -20.7029
20.9993	 16.764	 21.2132	 -22.8868
21.6917	 17.1654	 21.9203	 -25.1687
22.3836	 17.5567	 22.6274	 -27.5486
23.0751	 17.9379	 23.3345	 -30.0265
23.766	 18.309	 24.0416	 -32.6024
24.4565	 18.6701	 24.7487	 -35.2763
25.1465	 19.0212	 25.4558	 -38.0482
25.836	 19.3622	 26.163	 -40.918
26.525	 19.6931	 26.8701	 -43.8859
27.2135	 20.014	 27.5772	 -46.9518
27.9016	 20.3249	 28.2843	 -50.1157
28.5892	 20.6258	 28.9914	 -53.3776
29.2763	 20.9167	 29.6985	 -56.7375
29.9629	 21.1975	 30.4056	 -60.1954
30.649	 21.4684	 31.1127	 -63.7513
31.3347	 21.7293	 31.8198	 -67.4052
32.0198	 21.9802	 32.5269	 -71.1571
32.7045	 22.2211	 33.234	 -75.007
33.3887	 22.4521	 33.9411	 -78.9549
34.0725	 22.6731	 34.6482	 -83.0008
34.7557	 22.8841	 35.3553	 -87.1447
35.4385	 23.0852	 36.0624	 -91.3866
36.1208	 23.2763	 36.7696	 -95.7264
36.8026	 23.4575	 37.4767	 -100.164
37.484	 23.6288	 38.1838	 -104.7
38.1648	 23.7902	 38.8909	 -109.334
38.8452	 23.9416	 39.598	 -114.066
39.5251	 24.0832	 40.3051	 -118.896
40.2046	 24.2148	 41.0122	 -123.824
40.8836	 24.3366	 41.7193	 -128.85
41.562	 24.4485	 42.4264	 -133.974
42.2401	 24.5505	 43.1335	 -139.195
42.9176	 24.6426	 43.8406	 -144.515
43.5947	 24.7248	 44.5477	 -149.933
44.2712	 24.7972	 45.2548	 -155.449
44.9474	 24.8598	 45.9619	 -161.063
45.623	 24.9125	 46.669	 -166.775
46.2982	 24.9554	 47.3762	 -172.585
46.9729	 24.9884	 48.0833	 -178.493
47.6471	 25.0116	 48.7904	 -184.499
48.3209	 25.025	 49.4975	 -190.603
48.9941	 25.0286	 50.2046	 -196.804
49.6669	 25.0224	 50.9117	 -203.104
50.3393	 25.0064	 51.6188	 -209.502
51.0112	 24.9806	 52.3259	 -215.998
51.6826	 24.945	 53.033	 -222.592
52.3535	 24.8996	 53.7401	 -229.284
53.0239	 24.8445	 54.4472	 -236.074
53.6939	 24.7796	 55.1543	 -242.962
54.3635	 24.705	 55.8614	 -249.948
55.0325	 24.6206	 56.5685	 -257.031
55.7011	 24.5265	 57.2756	 -264.213
56.3692	 24.4226	 57.9828	 -271.493
57.0369	 24.309	 58.6899	 -278.871
57.704	 24.1857	 59.397	 -286.347
58.3708	 24.0527	 60.1041	 -293.921
59.037	 23.91	 60.8112	 -301.593
59.7028	 23.7575	 61.5183	 -309.363
60.3681	 23.5954	 62.2254	 -317.231
61.0329	 23.4236	 62.9325	 -325.196
61.6973	 23.2421	 63.6396	 -333.26
62.3612	 23.051	 64.3467	 -341.422
63.0247	 22.8501	 65.0538	 -349.682
63.6877	 22.6396	 65.7609	 -358.04
64.3502	 22.4195	 66.468	 -366.496
65.0123	 22.1897	 67.1751	 -375.05
65.6739	 21.9503	 67.8823	 -383.702
66.335	 21.7012	 68.5894	 -392.452
66.9957	 21.4425	 69.2965	 -401.3
67.6559	 21.1742	 70.0036	 -410.245
68.3156	 20.8963	 70.7107	 -419.289
68.9749	 20.6088	 71.4178	 -428.431
69.6338	 20.3117	 72.1249	 -437.671
70.2921	 20.005	 72.832	 -447.009
70.95	 19.6887	 73.5391	 -456.445
71.6075	 19.3628	 74.2462	 -465.979
72.2644	 19.0274	 74.9533	 -475.611
72.921	 18.6823	 75.6604	 -485.341
73.577	 18.3278	 76.3675	 -495.168
74.2326	 17.9636	 77.0746	 -505.094
74.8878	 17.59	 77.7817	 -515.118
75.5425	 17.2068	 78.4889	 -525.24
76.1967	 16.814	 79.196	 -535.46
76.8505	 16.4118	 79.9031	 -545.778
77.5038	 16	 80.6102	 -556.194
78.1566	 15.5787	 81.3173	 -566.708
78.809	 15.1479	 82.0244	 -577.32
79.461	 14.7076	 82.7315	 -588.03
80.1124	 14.2578	 83.4386	 -598.837
80.7635	 13.7985	 84.1457	 -609.743
81.414	 13.3298	 84.8528	 -620.747
82.0642	 12.8516	 85.5599	 -631.849
82.7138	 12.3639	 86.267	 -643.049
83.363	 11.8667	 86.9741	 -654.347
84.0118	 11.3601	 87.6812	 -665.743
84.6601	 10.8441	 88.3883	 -677.237
85.3079	 10.3186	 89.0955	 -688.829
85.9553	 9.78368	 89.8026	 -700.518
86.6023	 9.23934	 90.5097	 -712.306
87.2487	 8.68558	 91.2168	 -724.192
87.8948	 8.12241	 91.9239	 -736.176
88.5403	 7.54983	 92.631	 -748.258
89.1855	 6.96785	 93.3381	 -760.438
89.8302	 6.37648	 94.0452	 -772.716
90.4744	 5.77572	 94.7523	 -785.092
91.1182	 5.16558	 95.4594	 -797.566
91.7615	 4.54608	 96.1665	 -810.137
92.4044	 3.9172	 96.8736	 -822.807
93.0468	 3.27896	 97.5807	 -835.575
93.6888	 2.63138	 98.2878	 -848.441
94.3303	 1.97444	 98.9949	 -861.405
94.9714	 1.30817	 99.7021	 -874.467
